ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0097250,mitochondrial respirasome assembly,58,-0.7545921247672998,-3.344777216731386,4.773459382715403e-19,8.632005717077021e-17,5.811896160709631e-17,367,"tags=79%, list=17%, signal=67%",NDUFB7/TACO1/NDUFA9/NDUFB10/AIFM1/COA1/COA3/NDUFB6/ACAD9/COX7A2L/SURF1/COA5/NDUFA10/NDUFA5/UQCRFS1/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/SMIM20/NDUFS3/TMEM126A/NDUFB11/NDUFA13/NDUFA8/NDUFS4/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/LYRM7/NDUFB3/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/NDUFA6/COX7A1/UQCC1/NDUFC1/NDUFAF2/NDUFB4/NDUFA11
GO:0033108,mitochondrial respiratory chain complex assembly,56,-0.7500272435493363,-3.300819346057677,4.547037397663735e-19,8.632005717077021e-17,5.811896160709631e-17,367,"tags=79%, list=17%, signal=67%",NDUFB7/TACO1/NDUFA9/NDUFB10/AIFM1/COA1/COA3/NDUFB6/ACAD9/SURF1/COA5/NDUFA10/NDUFA5/UQCRFS1/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/SMIM20/NDUFS3/TMEM126A/NDUFB11/SAMM50/NDUFA13/NDUFA8/NDUFS4/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/LYRM7/NDUFB3/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/UQCC1/NDUFC1/NDUFAF2/NDUFB4/NDUFA11
GO:0010257,NADH dehydrogenase complex assembly,40,-0.7916320463327546,-3.2818301050824963,1.3621805585646303e-16,2.111379865775177e-14,1.4215839212689528e-14,367,"tags=88%, list=17%, signal=74%",NDUFB7/NDUFA9/NDUFB10/AIFM1/COA1/NDUFB6/ACAD9/NDUFA10/NDUFA5/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/NDUFS3/TMEM126A/NDUFB11/NDUFA13/NDUFA8/NDUFS4/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/NDUFB3/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/NDUFC1/NDUFAF2/NDUFB4/NDUFA11
GO:0032981,mitochondrial respiratory chain complex I assembly,40,-0.7916320463327546,-3.2818301050824963,1.3621805585646303e-16,2.111379865775177e-14,1.4215839212689528e-14,367,"tags=88%, list=17%, signal=74%",NDUFB7/NDUFA9/NDUFB10/AIFM1/COA1/NDUFB6/ACAD9/NDUFA10/NDUFA5/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/NDUFS3/TMEM126A/NDUFB11/NDUFA13/NDUFA8/NDUFS4/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/NDUFB3/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/NDUFC1/NDUFAF2/NDUFB4/NDUFA11
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",36,-0.8064719154295119,-3.2270944971423434,6.081522530290635e-16,8.797935927153784e-14,5.923616331258527e-14,367,"tags=92%, list=17%, signal=77%",NDUFB7/NDUFA9/NDUFB10/NDUFA7/NDUFB6/NDUFA10/NDUFA5/SNCA/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/NDUFS3/DLD/NDUFA8/NDUFS4/NDUFV2/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFB3/NDUFV1/COQ9/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/NDUFC1/NDUFB4/NDUFA4
GO:0007005,mitochondrion organization,149,-0.511140675541527,-2.756720527091219,1.5032859651565482e-15,2.0388315902435685e-13,1.3727374471297954e-13,532,"tags=59%, list=25%, signal=48%",MFN2/DCN/STOML2/CHCHD2/HTRA2/TIMM8B/TIMM9/VDAC2/HSPD1/AGK/SCO1/HSPA9/SQSTM1/FIS1/MTX1/APOOL/CHCHD3/COX17/LONP1/CLUH/DNAJA3/NDUFB7/PRDX3/TACO1/IMMT/NDUFA9/NDUFB10/SOD2/AIFM1/ATAD3A/AFG3L2/COA1/COA3/NDUFB6/ACAD9/COX7A2L/SURF1/SLC25A4/COA5/NDUFA10/APOO/NDUFA5/ACAA2/SNCA/UQCRFS1/NDUFAB1/NDUFS2/NDUFS8/SPG7/PHB2/NDUFB9/CHCHD10/NDUFS5/TMEM11/SMIM20/NDUFS3/MTX2/TMEM126A/NDUFB11/SAMM50/PNPT1/NDUFA13/NDUFA8/NDUFS4/HMGCL/NDUFS7/NDUFB8/NDUFS1/NDUFC2/TIMM50/NDUFA12/LYRM7/NDUFB3/NDUFA2/NDUFB1/NDUFB5/NDUFA3/COX7A2/TIMM22/NDUFA6/PPIF/COX7A1/UQCC1/NDUFC1/NDUFAF2/NDUFB4/NDUFA11/TFRC
GO:0042776,proton motive force-driven mitochondrial ATP synthesis,38,-0.7810809641801251,-3.1690700948184167,4.919490044814406e-15,6.279584351321919e-13,4.2280199270603073e-13,433,"tags=95%, list=20%, signal=77%",NDUFS6/SDHA/NDUFB7/NDUFA9/NDUFB10/NDUFA7/NDUFB6/NDUFA10/NDUFA5/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/NDUFS3/NDUFB11/SDHB/NDUFA13/NDUFA8/NDUFS4/NDUFV2/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/NDUFB3/NDUFV1/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/NDUFC1/NDUFB4/NDUFA11
GO:0015986,proton motive force-driven ATP synthesis,39,-0.7674450179764641,-3.145963154495234,2.7933405256840435e-14,3.367527189296875e-12,2.26734306997044e-12,433,"tags=92%, list=20%, signal=75%",NDUFS6/SDHA/NDUFB7/NDUFA9/NDUFB10/NDUFA7/NDUFB6/NDUFA10/NDUFA5/NDUFAB1/NDUFS2/NDUFS8/NDUFB9/NDUFS5/NDUFS3/NDUFB11/SDHB/NDUFA13/NDUFA8/NDUFS4/NDUFV2/NDUFS7/NDUFB8/NDUFS1/NDUFC2/NDUFA12/NDUFB3/NDUFV1/NDUFA2/NDUFB1/NDUFB5/NDUFA3/NDUFA6/NDUFC1/NDUFB4/NDUFA11
GO:0043436,oxoacid metabolic process,251,-0.4056548333260075,-2.3208630647972486,3.077269300336591e-14,3.514565464068633e-12,2.3663433733336226e-12,634,"tags=54%, list=30%, signal=43%",ME1/CARNS1/AKR1B1/GSTM2/ACSS2/PKM/ACO1/GRHPR/ATP1A2/IDH3A/ECH1/ENOPH1/GPX4/CBR4/PRKAG1/ENO2/GPX1/ALDH4A1/PGK1/GAPDH/FAH/TST/SIRT2/APOC3/DHTKD1/GSTO1/IDH3B/SLC27A1/ALDOA/PFAS/PDHA1/ABHD14B/IDH3G/PGK2/CPT1B/DBT/FAHD1/MCCC1/GLUD1/ACADM/SDHA/FABP3/MCCC2/ACSL1/PFKM/SUCLG2/DLST/APIP/HADHA/PGM1/HADHB/PHYH/PGAM2/TPI1/ALDH1A1/ADHFE1/PTGES2/OGDH/BCAT2/HIBCH/PCBD2/ADH5/ACSF2/MECR/ECHS1/AUH/ACAD9/ETFDH/DECR1/GOT1/PLIN5/BCKDHA/ENO3/ACAA2/ACO2/BCKDHB/ACOT2/SNCA/HAGH/ADH1B/NDUFAB1/GPT/FH/ALDH1L1/GAMT/DLAT/ECI2/MDH1/GPD1/GOT2/CS/IDH2/HSD17B8/MPC2/ACAD8/CPT2/PCCB/ACADVL/CRAT/ETFB/DCXR/DLD/ALDH5A1/PCCA/ETFA/VDAC1/HADH/SUCLA2/L2HGDH/PDHX/MDH2/HMGCL/HIBADH/PDHB/GSTZ1/PFKFB1/ALDH6A1/ECHDC3/SLC2A1/ABHD10/OXSM/ECI1/QKI/ALDOC/PTGR2/NOS1/LDHD/ACADS/CRYL1/ACAT1/ACADSB/PDK4/SULT1A3/SLC4A1/BPGM
GO:0006082,organic acid metabolic process,252,-0.40782945047124514,-2.3316660019139643,4.187345065317621e-14,4.543269395869619e-12,3.058965763505715e-12,634,"tags=54%, list=30%, signal=43%",ME1/CARNS1/AKR1B1/GSTM2/ACSS2/PKM/ACO1/GRHPR/ATP1A2/IDH3A/ECH1/ENOPH1/GPX4/CBR4/PRKAG1/ENO2/GPX1/ALDH4A1/PGK1/GAPDH/FAH/TST/SIRT2/APOC3/DHTKD1/GSTO1/IDH3B/SLC27A1/ALDOA/PFAS/PDHA1/ABHD14B/IDH3G/PGK2/CPT1B/DBT/FAHD1/MCCC1/GLUD1/ACADM/SDHA/FABP3/MCCC2/ACSL1/PFKM/SUCLG2/DLST/APIP/HADHA/PGM1/HADHB/PHYH/PGAM2/TPI1/ALDH1A1/ADHFE1/PTGES2/OGDH/BCAT2/HIBCH/PCBD2/ADH5/ACSF2/MECR/ECHS1/AUH/ACAD9/ETFDH/DECR1/GOT1/PLIN5/BCKDHA/ENO3/ACAA2/ACO2/BCKDHB/ACOT2/SNCA/HAGH/ADH1B/NDUFAB1/GPT/FH/ALDH1L1/GAMT/DLAT/ECI2/MDH1/GPD1/GOT2/STAT5B/CS/IDH2/HSD17B8/MPC2/ACAD8/CPT2/PCCB/ACADVL/CRAT/ETFB/DCXR/DLD/ALDH5A1/PCCA/ETFA/VDAC1/HADH/SUCLA2/L2HGDH/PDHX/MDH2/HMGCL/HIBADH/PDHB/GSTZ1/PFKFB1/ALDH6A1/ECHDC3/SLC2A1/ABHD10/OXSM/ECI1/QKI/ALDOC/PTGR2/NOS1/LDHD/ACADS/CRYL1/ACAT1/ACADSB/PDK4/SULT1A3/SLC4A1/BPGM
GO:0019752,carboxylic acid metabolic process,247,-0.40241933621553994,-2.2816247863008385,2.1289641197507002e-13,2.199929590409057e-11,1.4812041093804373e-11,634,"tags=54%, list=30%, signal=43%",ME1/CARNS1/AKR1B1/GSTM2/ACSS2/PKM/ACO1/GRHPR/ATP1A2/IDH3A/ECH1/ENOPH1/GPX4/CBR4/PRKAG1/ENO2/GPX1/ALDH4A1/PGK1/GAPDH/FAH/TST/SIRT2/APOC3/DHTKD1/GSTO1/IDH3B/SLC27A1/ALDOA/PFAS/PDHA1/IDH3G/PGK2/CPT1B/DBT/FAHD1/MCCC1/GLUD1/ACADM/SDHA/FABP3/MCCC2/ACSL1/PFKM/SUCLG2/DLST/APIP/HADHA/PGM1/HADHB/PHYH/PGAM2/TPI1/ALDH1A1/ADHFE1/PTGES2/OGDH/BCAT2/HIBCH/PCBD2/ADH5/ACSF2/MECR/ECHS1/AUH/ACAD9/ETFDH/DECR1/GOT1/PLIN5/BCKDHA/ENO3/ACAA2/ACO2/BCKDHB/ACOT2/SNCA/HAGH/ADH1B/NDUFAB1/GPT/FH/ALDH1L1/GAMT/DLAT/ECI2/MDH1/GPD1/GOT2/CS/IDH2/HSD17B8/MPC2/ACAD8/CPT2/PCCB/ACADVL/CRAT/ETFB/DCXR/DLD/ALDH5A1/PCCA/ETFA/VDAC1/HADH/SUCLA2/L2HGDH/PDHX/MDH2/HMGCL/HIBADH/PDHB/GSTZ1/PFKFB1/ALDH6A1/ECHDC3/SLC2A1/ABHD10/OXSM/ECI1/QKI/ALDOC/PTGR2/NOS1/LDHD/ACADS/CRYL1/ACAT1/ACADSB/PDK4/SLC4A1/BPGM
GO:0048870,cell motility,195,0.5466467837920689,2.212106608026173,5.288994944561092e-13,5.216872286226168e-11,3.512499991890333e-11,362,"tags=34%, list=17%, signal=31%",DEFA1/ANXA1/CTSG/LCP1/S100A11/POTEE/CORO1C/S100A8/CD44/RHOG/THY1/ARPC5/LGALS3/TMSB4X/HMGB2/ARPC5L/ARPC2/ACTB/SERPINB3/TUBB2B/ACTN4/ARPC3/PPIB/S100A9/IQGAP1/CAP1/HRAS/TMSB10/APOD/KRT16/ARHGDIB/S100A7/SERPINB1/MYH9/PPIA/FLNA/LRG1/KRT5/CD9/PFN1/KRT2/MSN/RPL13A/CSNK2B/JUP/DSTN/HEXB/CALR/GNAI2/RAC1/ECM1/CPNE3/MIF/MAPRE1/BAX/GLUL/CTNNB1/APOH/DNAJA4/APOA1/CTTN/CRK/HMGB1/MAP2K1/RBBP7/HSPB1/SPAG9
GO:0007010,cytoskeleton organization,283,0.49582412128965103,2.064314957198319,6.363757906625057e-13,6.004067242337554e-11,4.04251532008951e-11,336,"tags=28%, list=16%, signal=27%",ANXA1/LCP1/SH3BGRL3/TUBB4A/POTEE/MYBPH/CORO1C/S100A8/RHOG/TUBA1B/THY1/ARPC5/TPM4/VIM/TUBB2A/KRT10/TPPP3/TMSB4X/TBCB/KRT6A/ARPC5L/LMNB1/ACTN1/ARPC2/ACTB/ACTR2/DBNL/TUBB2B/ACTN4/ARPC3/S100A9/EZR/TAGLN2/ACTC1/KRT17/KRT6B/IQGAP1/CAP1/HRAS/TMSB10/KRT16/GSN/KRT14/MYH9/ARPC1B/FLNA/MARCKS/CFL1/KRT5/POLDIP2/CAPZA1/PFN1/KRT2/MSN/HSP90B1/PRKAA1/CLTC/DSTN/FLII/CALR/HNRNPU/DYNC1LI1/RAC1/NES/MYH3/DYNC1H1/PLS3/CSRP3/TUBB/MAPRE1/S100A10/CTNNB1/SPTAN1/APOA1/ZYX/NPM1/CTTN/CRK/DSP/PDCD6IP
GO:0002376,immune system process,309,0.4852373684736333,2.021444222850201,9.592122661900327e-13,8.672877573468213e-11,5.839415023998971e-11,544,"tags=43%, list=26%, signal=37%",DEFA1/ANXA1/CTSG/LTF/LCP1/LYZ/IGHA1/S100A8/CD44/NDRG1/THY1/ARG1/VIM/FBN1/RPL30/LGALS3/CTSC/IGKV4-1/S100A13/HMGB2/KRT6A/ACTB/ORM1/ACTR2/DBNL/IGKC/PPIB/S100A9/EZR/HRAS/HPRT1/APOD/KRT16/IL18/GSN/S100A7/MYH9/PPIA/MAPK14/PDIA3/TPD52/EIF6/IGKV3D-11/CTSD/YWHAZ/ARL8B/DDX3X/IGKV3-7/CD9/MSN/RPL13A/HPX/PRKAA1/IGHM/RPS17/LAMP2/HSPH1/CLU/PDE12/RPS6/PIP/CALR/IGHG2/RAC1/IGHG1/LAMP1/ECM1/TUBB/RPL22/FGB/MIF/PRMT1/AZGP1/IGKV1-27/VAMP3/BAX/G3BP1/ORM2/CTNNB1/EIF2B2/STX7/RPS24/FLOT1/APOA1/ZYX/SERPING1/RAB35/CRK/HMGB1/MAP2K1/SFPQ/IDE/UBQLN1/FLNB/FGA/TF/FN1/TRIM63/IGHG3/XRCC6/CALM1/RPS19/PSME1/HP/NAGK/ANXA3/DDOST/AMBP/PLG/MAPK1/CFH/KRT1/TUBB4B/CD2AP/OTUB1/CD93/TMEM43/KNG1/KHDRBS1/RHOA/CDC42/RAB6A/RPS3/FKBP1A/APOA4/RPSA/SYNCRIP/EIF2B5/RPS14/APOA2/C3/SNAP23
GO:0016477,cell migration,176,0.5489422368949458,2.1987783223356248,1.913869212613206e-12,1.6612384765482628e-10,1.1185054598345809e-10,362,"tags=35%, list=17%, signal=31%",DEFA1/ANXA1/CTSG/LCP1/S100A11/CORO1C/S100A8/CD44/RHOG/THY1/ARPC5/LGALS3/TMSB4X/HMGB2/ARPC5L/SERPINB3/TUBB2B/ACTN4/PPIB/S100A9/IQGAP1/CAP1/HRAS/TMSB10/APOD/KRT16/ARHGDIB/S100A7/SERPINB1/MYH9/PPIA/FLNA/LRG1/KRT5/CD9/PFN1/KRT2/MSN/RPL13A/CSNK2B/JUP/HEXB/CALR/GNAI2/RAC1/ECM1/CPNE3/MIF/MAPRE1/BAX/GLUL/CTNNB1/APOH/DNAJA4/APOA1/CTTN/CRK/HMGB1/RBBP7/HSPB1/SPAG9
